epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,precision,loss_scale,grad_norm,epoch_time_sec,samples_per_sec
1,2.31535916397537,0.07246376811594203,2.291908025741577,0.13636364042758942,5.6300000000000006e-05,fp32,1.0,1.0414232185908727,17.4312424659729,11.875229227295737
2,2.284583270261829,0.19806763285024154,2.2831194400787354,0.15909090638160706,6.260000000000002e-05,fp32,1.0,0.8443779008729118,18.05297040939331,11.466257092644094
3,2.26034010435648,0.178743961352657,2.252967357635498,0.22727273404598236,6.89e-05,fp32,1.0,1.2312860318592616,17.77078890800476,11.648329236906186
4,2.2031814706498296,0.2463768115942029,2.210090160369873,0.2954545319080353,7.520000000000001e-05,fp32,1.0,1.686369776725769,17.90965747833252,11.558009987094
5,2.1622848326457293,0.30434782608695654,2.2170419692993164,0.27272728085517883,8.150000000000004e-05,fp32,1.0,2.238981638635908,17.672701835632324,11.712979821944334
6,2.1127986689120677,0.34782608695652173,2.1585404872894287,0.34090909361839294,8.780000000000003e-05,fp32,1.0,2.5486754179000854,17.54996371269226,11.79489618262265
7,2.0591119245630534,0.3864734299516908,2.1302132606506348,0.3181818127632141,9.410000000000002e-05,fp32,1.0,2.7746149642126903,18.22162890434265,11.360125984711878
8,2.00668934462727,0.42028985507246375,2.16249418258667,0.25,0.00010040000000000003,fp32,1.0,3.281517267227173,16.71568512916565,12.383578561121906
9,1.982246384528524,0.4106280193236715,2.0662906169891357,0.3636363744735718,0.00010669999999999999,fp32,1.0,3.936185802732195,16.6732394695282,12.415103878182196
10,1.946079719469743,0.4251207729468599,2.0995800495147705,0.2954545319080353,0.00011299999999999997,fp32,1.0,4.134176288332258,16.805060625076294,12.31771813373391
11,1.9103336247844973,0.47342995169082125,2.054544687271118,0.34090909361839294,0.00011929999999999999,fp32,1.0,4.8685579640524725,16.65097975730896,12.431700897908858
12,1.8508014995694737,0.45893719806763283,1.980186104774475,0.3636363744735718,0.0001256,fp32,1.0,3.937075614929199,16.378720998764038,12.638349478913556
13,1.793488868192774,0.463768115942029,2.0371789932250977,0.2954545319080353,0.00013190000000000006,fp32,1.0,5.587706089019775,16.640252828598022,12.43971483679916
14,1.7610024254103214,0.4830917874396135,1.9636973142623901,0.34090909361839294,0.00013820000000000008,fp32,1.0,6.625385011945452,16.460998058319092,12.575179176051597
15,1.7037065472579809,0.5169082125603864,1.9775328636169434,0.2954545319080353,0.0001445000000000001,fp32,1.0,6.339186872754778,16.646249532699585,12.43523350970878
16,1.6851388947399342,0.4830917874396135,1.9828213453292847,0.3181818127632141,0.00015080000000000011,fp32,1.0,6.47820132119315,16.574539184570312,12.489035000906807
17,1.6475100822494801,0.4975845410628019,1.888081431388855,0.3636363744735718,0.0001571000000000002,fp32,1.0,8.123937334333148,16.48748230934143,12.554979354411106
18,1.5808586296827898,0.5458937198067633,1.9054808616638184,0.27272728085517883,0.0001634000000000002,fp32,1.0,9.1845885685512,16.720861196517944,12.379745131973642
19,1.6661348579010526,0.4396135265700483,1.846941351890564,0.40909090638160706,0.0001697000000000002,fp32,1.0,14.06044898714338,16.528841495513916,12.523563738945755
